"Age","Lili","Pasdefond","Francis","Clo","FFmean"
1430,6.30311918267908,5.24895751347859,6.59220786933118,2.10982403424622,5.06352714993376
1440,6.27038419201598,5.25548341487519,6.62425231910821,2.11366285123157,5.06594569430774
1450,6.23747189269362,5.26163388856928,6.65625159919216,2.11776432967052,5.0682804275314
1460,6.20438723545906,5.26740103224823,6.68818773006376,2.12212635840742,5.07052558904462
1470,6.171215987574,5.27268535595461,6.7200467124722,2.12675644328592,5.07267612482168
1480,6.13797167339516,5.27746154064975,6.75179559928192,2.13161637978289,5.07471129827743
1490,6.10466974299664,5.28181954114765,6.78343362380838,2.13673235644891,5.07666381610039
1500,6.07135770629351,5.28575267472282,6.81491855076565,2.14206667021789,5.07852390049997
1510,6.03806029943613,5.28918166836015,6.846247530332,2.14761920448865,5.08027717565423
1520,6.00479849911132,5.29202953112259,6.87739224661368,2.15338981942022,5.08190252406695
1530,5.97163525005641,5.29442307669123,6.90832415666006,2.15934689585929,5.08343234481675
1540,5.93857249053504,5.29635709142433,6.93904629224162,2.16551055939998,5.08487160840024
1550,5.90562658555629,5.29777768049694,6.96949028366846,2.17184464108447,5.08618479770154
1560,5.87285016842601,5.29854898835342,6.99968494727818,2.17834953188057,5.08735840898454
1570,5.84030008815006,5.29883682701041,7.02956818634912,2.18501923452189,5.08843108400787
1580,5.80794246712319,5.29863762199047,7.05913903370233,2.19182850591587,5.08938690718296
1590,5.77580479760587,5.29792677319341,7.08837671807933,2.19879032764954,5.09022465413204
1600,5.74400161137138,5.29650499118416,7.11722844504237,2.20587260821481,5.09090191395318
1610,5.71249752936878,5.29457775428226,7.14572635679877,2.21307464317599,5.09146907090645
1620,5.68127654303319,5.29214328628504,7.17376902247539,2.22038666121159,5.0918938782513
1630,5.65039616950283,5.28919875112533,7.20140819257651,2.22778935297836,5.09219811654576
1640,5.61999041564981,5.28550980112985,7.22857615454921,2.23528766857662,5.09234100997637
1650,5.58993329608362,5.28129069952523,7.25526067718059,2.24285608396616,5.0923351891889
1660,5.56025170263754,5.27655152247205,7.2814659926836,2.25049117218372,5.09219009749423
1670,5.53107726337724,5.27129082199814,7.30710087123794,2.25818164654244,5.09191265078894
1680,5.50240870474529,5.26530480433928,7.33223420601772,2.26591366046209,5.09146534389109
1690,5.47416112123001,5.25874998929413,7.35674849380407,2.27368284078998,5.09083561127955
1700,5.44637694973088,5.25166945759849,7.38069713206463,2.28147319032615,5.09005418243004
1710,5.41928374804803,5.24406337868956,7.4040271386716,2.28927677004093,5.08916275886253
1720,5.39268138902719,5.23576151488338,7.42670115627641,2.29708297034311,5.08805675763252
1730,5.36657624395075,5.22685975532325,7.44876546961293,2.30488203475735,5.08677087591107
1740,5.34108663866883,5.21743391158521,7.47007812955875,2.31266191190865,5.08531514793036
1750,5.31630299684156,5.20748586306558,7.49075255356165,2.32041592082347,5.08373933357306
1760,5.29205107399772,5.19688058629424,7.51066675307959,2.32813094365756,5.08193233925728
1770,5.2683679051916,5.18565302705538,7.52986073295037,2.33579910419865,5.079920192349
1780,5.24547349971484,5.17391018115559,7.54831366771986,2.34341308547025,5.07777760851513
1790,5.22323223649135,5.16165570179488,7.56595086850483,2.3509556229878,5.07544860744471
1800,5.20157401774498,5.14879011384491,7.58286614589193,2.35842813162955,5.07291460227784
1810,5.18057992843312,5.13528960589185,7.59888375829819,2.36581206301667,5.07014133890996
1820,5.16047182879017,5.12128960027671,7.61414071359428,2.3731041044682,5.06725156178234
1830,5.14097315339944,5.10679555032063,7.62853062138091,2.38029774839574,5.06414926837418
1840,5.12211165207935,5.09174257851136,7.64206654274288,2.38737291563122,5.0608234222412
1850,5.10407412971115,5.07605268505436,7.65477393306481,2.39433775548053,5.05730962582771
1860,5.08683417550057,5.05988583099361,7.66653242036034,2.40116818165408,5.05360515212715
1870,5.07023171747822,5.04324925008721,7.67747677669949,2.40786696893148,5.0497061782991
1880,5.0543119322438,5.0261104862446,7.6874395036614,2.41442689334023,5.04557220387251
1890,5.03937481618154,5.00834414418281,7.69653647784001,2.42082727285743,5.04127067776545
1900,5.02512049943094,4.99012980693205,7.70470191585596,2.42708157353638,5.03675844893883
1910,5.01153729030947,4.97147641528966,7.71191207206344,2.43316019817087,5.03202149395836
1920,4.99876118796026,4.95238061423278,7.718247240259,2.43907318302622,5.02711555636956
1930,4.98690049082483,4.9326784264216,7.72353848542769,2.44481123211425,5.02198215869709
1940,4.97570610004992,4.91256323421649,7.72796023717681,2.4503550013704,5.01664614320341
1950,4.96521143705018,4.89204555185398,7.73136466040881,2.45572187690647,5.01108588155486
1960,4.95566407412491,4.87113221804263,7.73383431622886,2.46087689773239,5.0053768765322
1970,4.94689357832934,4.8496745842826,7.73535377910012,2.46583817664224,4.99944002958858
