"Age","Castor","Gagnon","Perche","Desperiers","Labelle","FFmean"
4070,7.46256192646273,4.93541082475167,NA,NA,7.5623952088709,6.6534559866951
4080,7.44633893695315,4.93645892563277,NA,NA,7.56064281452245,6.64781355903612
4090,7.43069043725665,4.93773809534706,NA,NA,7.5598316417275,6.64275339144374
4100,7.41563907438124,4.9392464743774,NA,NA,7.55983134883205,6.63823896586356
4110,7.40120663968233,4.94098372150107,NA,NA,7.56063509167588,6.63427515095309
4120,7.38746654399786,4.94296495442789,NA,NA,7.56231487417276,6.63091545753284
4130,7.37441329831837,4.9451805493585,NA,NA,7.56480422604426,6.62813269124038
4140,7.36204345409012,4.94761997493653,NA,NA,7.56805570442487,6.62590637781717
4150,7.35037410041987,4.95028259032069,NA,NA,7.57211089593265,6.6242558622244
4160,7.3394221047978,4.95316800494217,NA,NA,7.57696220237283,6.6231841040376
4170,7.32920334069602,4.95627770796428,NA,NA,7.58252574970805,6.62266893278945
4180,7.31975676692418,4.95963232443814,NA,NA,7.5888150370152,6.62273470945917
4190,7.31112217388083,4.96321503493699,NA,NA,7.59587421746151,6.62340380875978
4200,7.30328099900861,4.96702178029325,NA,NA,7.60358948859316,6.62463075596501
4210,7.29622848255831,4.9710535462319,NA,NA,7.61195487344283,6.62641230074435
4220,7.2899750353009,4.9753115792544,NA,NA,7.621034553841,6.62877372279877
4230,7.28453000817885,4.97979939784783,NA,NA,7.63071790686866,6.63168243763178
4240,7.27990168846178,4.98454431571262,NA,NA,7.64098398706724,6.63514333041388
4250,7.27615183946514,4.98952133803233,NA,NA,7.6518683973169,6.63918052493812
4260,7.27326939697028,4.99473274996278,NA,NA,7.66331169415197,6.64377128036168
4270,7.27122860351572,5.00018111980229,NA,NA,7.6752645949491,6.64889143942237
4280,7.27002751327405,5.00586961845216,NA,NA,7.68773814995503,6.65454509389375
4290,7.26966879868119,5.01180784821761,NA,NA,7.70071356154692,6.6607300694819
4300,7.27015408298259,5.01801673019731,NA,NA,7.71412057822189,6.6674304638006
4310,7.27149924424014,5.02447586465373,NA,NA,7.72795044510728,6.67464185133372
4320,7.27374846298051,5.03118892000234,NA,NA,7.74221299260304,6.68238345852863
4330,7.27686279778913,5.03815973416946,NA,NA,7.75682578380652,6.69061610525504
4340,7.28081652069111,5.04539310776974,NA,NA,7.77176889359671,6.69932617401919
4350,7.28560588024188,5.05290535026431,NA,NA,7.78705410510919,6.70852177853846
4360,7.29122615007557,5.06070923180825,NA,NA,7.80261055439113,6.71818197875831
4370,7.29767164524783,5.06878863294173,NA,NA,7.81840963080389,6.72828996966448
4380,7.30497799169739,5.07714802844688,NA,NA,7.8344440592085,6.73885669311759
4390,7.31313613810763,5.08579195681087,NA,NA,7.85067032014241,6.74986613835364
4400,7.32210515489964,5.09472631276248,NA,NA,7.8670497525109,6.76129374005767
4410,7.33186522127879,5.10397465394916,NA,NA,7.88356192760527,6.77313393427774
4420,7.34240590499035,5.11353876293577,NA,NA,7.90017674080376,6.78537380290996
4430,7.35371594234333,5.12340682595465,NA,NA,7.91685452198231,6.79799243009343
4440,7.36578683450326,5.1335833748991,NA,NA,7.9335679324529,6.81097938061842
4450,7.37865933081113,5.14407287101413,NA,NA,7.95028583738299,6.82433934640275
4460,7.39228435346987,5.15488155335188,NA,NA,7.96697658566341,6.83804749749505
4470,7.40662264913001,5.16604041795728,NA,NA,7.98361125513198,6.85209144073976
4480,7.42165896375781,5.17753692871944,NA,NA,8.00014755167899,6.86644781471875
4490,7.43737736868677,5.18936390673559,NA,NA,8.01656529719512,6.8811021908725
4500,7.45376128706671,5.20152504785106,NA,NA,8.03283704007683,6.8960411249982
