"Age","Lili","Pasdefond","Francis","Clo","BBmean"
890,-0.259630499413981,0.701479249172687,1.14535663188294,0.529810825587486,0.529254051807283
900,-0.245512746505284,0.701830064941416,1.13445775759075,0.539734295707214,0.532627342933524
910,-0.232435963564789,0.701819268141059,1.12350715928316,0.547085252472239,0.534993929082918
920,-0.220294632656185,0.701355428043141,1.11243859375824,0.55186114332195,0.536340133116787
930,-0.208983235843162,0.700397417672722,1.10123234428604,0.554059415695738,0.536676485452835
940,-0.198396255189407,0.699998082682878,1.0898686941366,0.553677517032992,0.536287009665766
950,-0.188428172758609,0.70064955256395,1.07832792657998,0.550712894773101,0.535315550289605
960,-0.178973470614457,0.702404756793783,1.06659032488622,0.545162996355456,0.53379615185525
970,-0.169926630820639,0.705316624850222,1.05463617232537,0.537025269219445,0.531762858893599
980,-0.161182135440844,0.709438086211113,1.04244575216748,0.526297160804459,0.529249715935551
990,-0.15263446653876,0.714822070354302,1.02999934768259,0.512976118549887,0.526290767512006
1000,-0.144178106178077,0.721521506757633,1.01727724214077,0.49710574861512,0.522931597833862
1010,-0.135843196701904,0.729589324898953,1.00425971881205,0.482179232240401,0.520046269812376
1020,-0.128105522822118,0.739078454256107,0.990927060966493,0.470022997474168,0.517980747468663
1030,-0.121066436841967,0.75004182430694,0.977259551874135,0.460138390497085,0.516593332459048
1040,-0.11478224614504,0.762532364529298,0.963237474805031,0.452026757489815,0.515753587669776
1050,-0.109309258114928,0.776555506788632,0.948841113029228,0.445189444633023,0.515319201583989
1060,-0.104703780135221,0.789728751926665,0.934050749816776,0.43912779810737,0.514550879928898
1070,-0.101022119589509,0.800811163205008,0.918846668437722,0.433343164093523,0.512994719036686
1080,-0.0983205838613841,0.809959107332628,0.903209152162117,0.427336888772143,0.510546141101376
1090,-0.096655480334435,0.817328951018493,0.887118484260009,0.420610318323896,0.507100568316991
1100,-0.0960831163922525,0.823077060971573,0.870554948001446,0.412664798929443,0.502553422877552
1110,-0.096659799418427,0.827359803900836,0.853498826656477,0.40300167676945,0.496800126977084
1120,-0.0984418367965487,0.830333546515251,0.835976810521728,0.39112229802458,0.489747704566253
1130,-0.101485535910208,0.832154655523786,0.8182255543901,0.376528008875497,0.481355670719794
1140,-0.105748640503225,0.832979497635411,0.800286234616349,0.359711148560751,0.471807060077321
1150,-0.109941528185028,0.832964439559093,0.782164838839337,0.342877994786295,0.462016436249925
1160,-0.113622854814325,0.832265848003802,0.763867354697928,0.326400090699341,0.452227609646686
1170,-0.116757661852702,0.831033530296706,0.745399769830986,0.310563294968807,0.442559733310949
1180,-0.119310990761744,0.827552386985358,0.726768071877372,0.295653466263617,0.432665733591151
1190,-0.121247883003034,0.820523414636609,0.707978248475951,0.28195646325269,0.422302560840554
1200,-0.122533380038159,0.810126987443384,0.689036287265585,0.269758144604948,0.41159700981894
